,Машина,Тип коробки передач,Тип машины,Привод,Цвет,Объем двигателя (л.),Мощность двигателя (л.с.),Тип топлива,Цена (р.),Пробег (км.)
208,BMW 5 серии 535i xDrive VI (F10/F11/F07) Рестайлинг,автомат,седан,полный,белый,3.0,306,Бензин,3080000,143000
209,Audi A7 I (4G),вариатор,лифтбек,передний,белый,3.0,204,Дизель,1980000,117000
210,Mazda 6 III (GJ) Рестайлинг,автомат,седан,передний,белый,2.2,150,Дизель,1850000,142000
211,Nissan X-Trail II Рестайлинг,вариатор,внедорожник 5 дв.,полный,чёрный,2.0,141,Бензин,1560000,126000
212,Datsun on-DO I Рестайлинг,механика,седан,передний,чёрный,1.6,106,Бензин,700000,34000
213,Mercedes-Benz Vito 114 CDI L1 III (W447),автомат,минивэн,полный,чёрный,2.1,136,Дизель,8640000,42000
214,Mercedes-Benz S-Класс 350 Long V (W221) Рестайлинг,автомат,седан,полный,синий,3.0,258,Дизель,1870000,172000
215,"Mercedes-Benz S-Класс 500 Long VI (W222, C217)",автомат,седан,полный,чёрный,4.7,455,Бензин,3290000,107000
216,Mercedes-Benz GLE 450 II (V167),автомат,внедорожник 5 дв.,полный,чёрный,3.0,367,Бензин,8560000,40000
217,Mercedes-Benz GLK-Класс 250 I (X204) Рестайлинг,автомат,внедорожник 5 дв.,задний,чёрный,2.0,211,Бензин,1340000,134000
218,Mercedes-Benz C-Класс 250 d IV (W205),автомат,купе,полный,белый,2.1,204,Дизель,2570000,57000
219,Mercedes-Benz C-Класс 220 CDI III (W204) Рестайлинг,автомат,седан,полный,белый,2.1,170,Дизель,1050000,208000
220,Volkswagen Passat B4,механика,седан,передний,белый,1.8,75,Бензин,200000,374000
221,Mercedes-Benz C-Класс 180 IV (W205) Рестайлинг,автомат,седан,задний,чёрный,1.6,150,Бензин,3720000,27000
222,Mercedes-Benz Maybach GLS 600 I,автомат,внедорожник 5 дв.,полный,чёрный,4.0,558,Бензин,33040000,2000
223,SsangYong Kyron I Рестайлинг,механика,внедорожник 5 дв.,задний,коричневый,2.0,141,Дизель,620000,176000
224,BMW 3 серии 320d xDrive VII (G2x),автомат,седан,полный,чёрный,2.0,190,Дизель,4700000,8000
225,BMW X4 M40d II (G02),автомат,внедорожник 5 дв.,полный,красный,3.0,326,Дизель,6570000,11000
226,Lexus GS 350 IV,автомат,седан,полный,серый,3.5,317,Бензин,2340000,166000
227,Infiniti QX50 I,автомат,внедорожник 5 дв.,полный,красный,2.5,222,Бензин,1860000,143000
228,Jeep Grand Cherokee IV (WK2),автомат,внедорожник 5 дв.,полный,чёрный,3.6,286,Бензин,1510000,164000
229,LADA (ВАЗ) Granta I,механика,седан,передний,голубой,1.6,106,Бензин,510000,61000
230,Chery Tiggo 8 Pro,робот,внедорожник 5 дв.,передний,синий,1.6,186,Бензин,2870000,20000
231,Opel Astra GTC J Рестайлинг,механика,хэтчбек 3 дв.,передний,жёлтый,1.7,110,Дизель,900000,113000
232,SsangYong Rexton I,автомат,внедорожник 5 дв.,полный,бежевый,2.3,140,Бензин,480000,84000
233,BMW X5 M Competition III (F95),автомат,внедорожник 5 дв.,полный,серый,4.4,625,Бензин,22470000,1000
234,Renault Kaptur I,вариатор,внедорожник 5 дв.,передний,белый,1.6,114,Бензин,1120000,88000
235,BMW 2 серии 218i F44,робот,седан,передний,красный,1.5,140,Бензин,5900000,13000
236,Peugeot 206,механика,хэтчбек 3 дв.,передний,красный,1.4,68,Дизель,290000,216000
237,Haval Jolion I,механика,внедорожник 5 дв.,передний,синий,1.5,143,Бензин,2550000,18000
238,Ford Fusion I Рестайлинг,механика,хэтчбек 5 дв.,передний,серебристый,1.4,80,Бензин,550000,101000
239,Nissan Quest IV,вариатор,минивэн,передний,чёрный,3.5,260,Бензин,2190000,95000
240,Nissan Qashqai II,механика,внедорожник 5 дв.,передний,чёрный,1.5,110,Дизель,1580000,77000
241,Nissan Terrano III (D10),механика,внедорожник 5 дв.,передний,чёрный,1.6,114,Бензин,1920000,46000
242,Nissan Juke I Рестайлинг,механика,внедорожник 5 дв.,передний,серебристый,1.6,94,Бензин,1650000,21000
243,Hyundai Accent II,механика,седан,передний,серебристый,1.6,105,Бензин,240000,92000
