,Машина,Тип коробки передач,Тип машины,Привод,Цвет,Объем двигателя (л.),Мощность двигателя (л.с.),Тип топлива,Цена (р.),Пробег (км.)
981,LADA (ВАЗ) XRAY Cross I,вариатор,хэтчбек 5 дв.,передний,бежевый,1.6,113,Бензин,1270000,6000
982,"Toyota Corolla Fielder XI (E160, E170) Рестайлинг",вариатор,универсал 5 дв.,передний,серый,1.5,74,Гибрид,1310000,74000
983,Audi Q5 8tiptronic I (8R),автомат,внедорожник 5 дв.,полный,коричневый,2.0,211,Бензин,1520000,159000
984,Opel Zafira B,механика,компактвэн,передний,бежевый,1.8,140,Бензин,540000,161000
985,Mercedes-Benz GLC 300 I (X253) Рестайлинг,автомат,внедорожник 5 дв.,полный,белый,2.0,249,Бензин,5040000,40000
986,Renault Scenic IV,робот,компактвэн,передний,серый,1.5,110,Дизель,1450000,105000
987,Volkswagen Multivan T5,механика,минивэн,передний,чёрный,2.0,115,Бензин,1430000,505000
988,Honda Accord VI,автомат,седан,передний,синий,1.9,140,Бензин,430000,371000
989,Porsche Panamera 4 E-Hybrid II,робот,хэтчбек 5 дв.,полный,серебристый,2.9,330,Гибрид,8430000,82000
990,Porsche Cayenne S Diesel II (958),автомат,внедорожник 5 дв.,полный,белый,4.1,382,Дизель,3470000,188000
991,Mercedes-Benz S-Класс 350 Long V (W221),автомат,седан,полный,чёрный,3.5,272,Бензин,1680000,88000
992,Honda Jazz II Рестайлинг,вариатор,хэтчбек 5 дв.,передний,красный,1.3,100,Бензин,1030000,79000
993,EXEED TXL I Рестайлинг,робот,внедорожник 5 дв.,полный,синий,1.6,186,Бензин,4180000,1000
994,BMW X6 30d III (G06),автомат,внедорожник 5 дв.,полный,белый,3.0,249,Дизель,11060000,31000
995,Volkswagen Passat CC I Рестайлинг,механика,седан,передний,белый,1.4,160,Бензин,1240000,120000
996,Mitsubishi Pajero Sport I Рестайлинг,автомат,внедорожник 5 дв.,полный,чёрный,3.0,177,Бензин,1010000,166000
997,Audi Q3 40 TFSI II (F3),робот,внедорожник 5 дв.,полный,серебристый,2.0,180,Бензин,4920000,8000
998,Ford Scorpio I,механика,седан,полный,синий,2.9,150,Бензин,150000,254000
999,Suzuki Grand Vitara II,автомат,внедорожник 5 дв.,полный,чёрный,2.0,128,Бензин,220000,350000
1000,Mercedes-Benz GLA 250 I (X156),робот,внедорожник 5 дв.,передний,чёрный,2.0,211,Бензин,1960000,103000
1001,Mercedes-Benz CLS 350 d III (C257),автомат,седан,полный,чёрный,2.9,249,Дизель,6780000,23000
1002,Volkswagen Passat EcoFuel B7,механика,седан,передний,чёрный,1.4,150,Газ,960000,175000
1003,Toyota Sienna III Рестайлинг,автомат,минивэн,полный,чёрный,3.5,296,Бензин,4010000,99000
1004,Ford S-MAX I,механика,минивэн,передний,серый,1.8,100,Дизель,910000,156000
1005,Ford Explorer V,автомат,внедорожник 5 дв.,передний,чёрный,3.5,294,Бензин,1580000,169000
1006,Infiniti EX EX37 I (J50),автомат,внедорожник 5 дв.,полный,белый,3.7,330,Бензин,1300000,272000
1007,Geely Emgrand 7 I Рестайлинг,механика,седан,передний,серый,1.5,103,Бензин,1070000,67000
1008,Chery Sweet (QQ),робот,хэтчбек 5 дв.,передний,зелёный,0.8,52,Бензин,150000,124000
1009,Isuzu Gemini III,автомат,хэтчбек 3 дв.,передний,оранжевый,1.5,120,Бензин,210000,320000
1010,Renault Scenic II Рестайлинг,механика,компактвэн,передний,синий,1.9,100,Дизель,540000,208000
1011,Citroen C4 Picasso Grand I,робот,компактвэн,передний,бежевый,1.6,150,Бензин,660000,92000
1012,BMW 6 серии 640d xDrive III (F06/F13/F12) Рестайлинг,автомат,купе,полный,чёрный,3.0,313,Дизель,4680000,46000
1013,Mercedes-Benz S-Класс 550 Long V (W221),автомат,седан,полный,серебристый,5.5,388,Бензин,1310000,154000
1014,Mercedes-Benz GLS 400 d II (X167),автомат,внедорожник 5 дв.,полный,чёрный,2.9,330,Дизель,14120000,8000
1015,Ravon R4,механика,седан,передний,красный,1.5,106,Бензин,570000,48000
1016,Hyundai H-1 II Рестайлинг 2,автомат,минивэн,задний,чёрный,2.5,170,Дизель,4170000,33000
1017,Kia Picanto III,механика,хэтчбек 5 дв.,передний,серый,1.3,84,Бензин,1230000,18000
1018,Audi A6 allroad I (C5),механика,универсал 5 дв.,полный,зелёный,2.7,250,Бензин,400000,215000
1019,Skoda Superb DSG II Рестайлинг,робот,лифтбек,передний,чёрный,1.8,152,Бензин,1400000,95000
1020,Toyota RAV4 II (XA20),автомат,внедорожник 5 дв.,полный,бежевый,1.8,125,Бензин,540000,385000
1021,Toyota Fortuner II,автомат,внедорожник 5 дв.,задний,белый,2.7,166,Бензин,3180000,16000
1022,Renault Megane III Рестайлинг,механика,хэтчбек 5 дв.,передний,белый,1.5,106,Дизель,710000,274000
1023,Mercedes-Benz GLC Coupe 300 d I (C253) Рестайлинг,автомат,внедорожник 5 дв.,полный,чёрный,2.0,245,Дизель,7320000,11000
1024,Renault Kangoo II Рестайлинг,механика,компактвэн,передний,белый,1.6,102,Бензин,800000,326000
1025,Suzuki Swift IV Рестайлинг,механика,хэтчбек 5 дв.,передний,серебристый,1.2,91,Бензин,680000,63000
1026,Chevrolet Aveo I,механика,седан,передний,красный,1.2,72,Бензин,160000,243000
1027,Volkswagen Caravelle T6,робот,минивэн,передний,бежевый,2.0,204,Бензин,3440000,60000
1028,BMW X4 20d II (G02),автомат,внедорожник 5 дв.,полный,белый,2.0,190,Дизель,5520000,20000
1029,BMW 6 серии Gran Turismo 620d xDrive IV (G32) Рестайлинг,автомат,лифтбек,полный,красный,2.0,190,Дизель,7480000,42000
1030,BMW X6 ActiveHybrid I (E71),автомат,внедорожник 5 дв.,полный,чёрный,4.4,407,Гибрид,2090000,130000
1031,BMW M5 Competition VI (F90) Рестайлинг,автомат,седан,полный,красный,4.4,625,Бензин,18160000,9000
1032,BMW 1 серии 116d II (F20/F21),механика,хэтчбек 5 дв.,задний,серый,1.6,116,Дизель,1000000,140000
1033,BMW 5 серии 520d V (E60/E61),механика,седан,задний,чёрный,2.0,163,Дизель,880000,154000
1034,BMW 5 серии 518d VI (F10/F11/F07) Рестайлинг,автомат,седан,задний,белый,2.0,143,Дизель,1600000,111000
1035,BMW X6 35i I (E71),автомат,внедорожник 5 дв.,полный,красный,3.0,306,Бензин,1490000,163000
1036,BMW 5 серии 530d VI (F10/F11/F07),автомат,седан,задний,чёрный,3.0,258,Дизель,1440000,108000
1037,BMW 3 серии 325xi V (E90/E91/E92/E93) Рестайлинг,автомат,седан,полный,чёрный,2.5,218,Бензин,1740000,156000
1038,Opel Insignia I Рестайлинг,механика,седан,передний,белый,2.0,195,Дизель,1310000,116000
1039,Honda Freed I,вариатор,компактвэн,полный,серый,1.5,118,Бензин,810000,130000
1040,Lexus RX 270 III Рестайлинг,автомат,внедорожник 5 дв.,передний,чёрный,2.7,188,Бензин,2180000,183000
1041,LADA (ВАЗ) 2121 (4x4) Urban I Рестайлинг,механика,внедорожник 3 дв.,полный,серый,1.7,83,Бензин,820000,84000
1042,"Mercedes-Benz E-Класс 250 IV (W212, S212, C207) Рестайлинг",автомат,купе-хардтоп,задний,серый,2.0,211,Бензин,3190000,37000
1043,Mercedes-Benz GLS 500 I (X166),автомат,внедорожник 5 дв.,полный,синий,4.7,455,Бензин,5840000,75000
1044,Mercedes-Benz S-Класс 350 d Long 4MATIC VII (W223),автомат,седан,полный,чёрный,2.9,249,Дизель,16540000,19000
1045,Genesis G90 I Рестайлинг,автомат,седан,задний,серый,3.3,370,Бензин,7770000,23000
